August01105501,Dyn Increase time,,,
,,Max,Min,
,45mS ~ 30mS,12.1750,0.0000,12.0450,0.0450,
,45mS ~ 35mS,12.2175,0.0000,12.0550,0.0450,
,45mS ~ 40mS,12.1975,0.0000,12.0400,0.0425,
,45mS ~ 45mS,12.1800,0.0025,12.0325,0.0600,
,
,August01111623,Dyn Increase time,110/0-14,,
,,Max,Min,
,5mS ~ 5mS,012.2250,0.0300,011.9575,0.0600,
,5mS ~ 10mS,12.2200,0.0275,11.9025,0.0650,
,5mS ~ 15mS,12.2250,0.0200,11.9300,0.0550,
,5mS ~ 20mS,12.2225,0.0150,11.9975,0.0525,
,5mS ~ 25mS,12.2250,0.0125,11.9825,0.0450,
,5mS ~ 30mS,12.2200,0.0125,11.8650,0.0425,
,5mS ~ 35mS,12.2325,0.0125,11.8875,0.0400,
,5mS ~ 40mS,12.2450,0.0075,11.8650,0.0400,
,5mS ~ 45mS,12.2200,0.0025,11.8700,0.0325,
,10mS ~ 5mS,12.2200,0.0025,11.8700,0.0325,
,10mS ~ 10mS,12.2300,0.0275,11.9450,0.0500,
,10mS ~ 15mS,12.2400,0.0325,11.9025,0.0725,
,10mS ~ 20mS,12.2250,0.0325,11.9200,0.0625,
,10mS ~ 25mS,12.2325,0.0325,11.9950,0.0600,
,10mS ~ 30mS,12.2200,0.0275,11.9900,0.0550,
,10mS ~ 35mS,12.2175,0.0175,11.8700,0.0500,
,10mS ~ 40mS,12.2325,0.0150,11.8875,0.0525,
,10mS ~ 45mS,12.2200,0.0150,11.8750,0.0500,
,15mS ~ 5mS,12.2200,0.0150,11.8750,0.0500,
,15mS ~ 10mS,12.2250,0.0050,11.8875,0.0450,
,15mS ~ 15mS,12.2525,0.0375,11.9550,0.0650,
,15mS ~ 20mS,12.2250,0.0475,11.9225,0.0800,
,15mS ~ 25mS,12.2250,0.0400,11.9375,0.0775,
,15mS ~ 30mS,12.2250,0.0300,11.9250,0.0675,
,15mS ~ 35mS,12.2325,0.0275,11.9250,0.0650,
,15mS ~ 40mS,12.2325,0.0275,11.8775,0.0600,
,15mS ~ 45mS,12.2350,0.0200,11.8900,0.0550,
,20mS ~ 5mS,12.2350,0.0200,11.8900,0.0550,
,20mS ~ 10mS,12.2575,0.0275,11.8875,0.0550,
,20mS ~ 15mS,12.2325,0.0200,11.8850,0.0500,
,20mS ~ 20mS,12.2350,0.0375,11.9500,0.0750,
,20mS ~ 25mS,12.2600,0.0425,11.9300,0.0775,
,20mS ~ 30mS,12.2400,0.0400,11.9075,0.0800,
,20mS ~ 35mS,12.2350,0.0400,11.9250,0.0725,
,20mS ~ 40mS,12.2350,0.0300,11.9200,0.0650,
,20mS ~ 45mS,12.2450,0.0325,11.8125,0.0650,
,25mS ~ 5mS,12.2450,0.0325,11.8125,0.0650,
,25mS ~ 10mS,12.2350,0.0250,11.8475,0.0600,
,25mS ~ 15mS,12.2475,0.0250,11.8775,0.0550,
,25mS ~ 20mS,12.2450,0.0200,11.8825,0.0450,
,25mS ~ 25mS,12.2450,0.0475,11.9550,0.0775,
,25mS ~ 30mS,12.2325,0.0475,11.9150,0.0875,
,25mS ~ 35mS,12.2325,0.0525,11.9200,0.0800,
,25mS ~ 40mS,12.2525,0.0475,11.9125,0.0800,
,25mS ~ 45mS,12.2325,0.0400,11.9025,0.0775,
,30mS ~ 5mS,12.2325,0.0400,11.9025,0.0775,
,30mS ~ 10mS,12.2325,0.0325,11.8225,0.0750,
,30mS ~ 15mS,12.2350,0.0425,11.8375,0.0675,
,30mS ~ 20mS,12.2525,0.0325,11.9075,0.0550,
,30mS ~ 25mS,12.2325,0.0300,11.8900,0.0625,
,30mS ~ 30mS,12.2475,0.0425,11.9600,0.0850,
,30mS ~ 35mS,12.2450,0.0525,11.9325,0.0875,
,30mS ~ 40mS,12.2675,0.0600,11.8550,0.0900,
,30mS ~ 45mS,12.2400,0.0425,11.9150,0.0775,
,35mS ~ 5mS,12.2400,0.0425,11.9150,0.0775,
,35mS ~ 10mS,12.2700,0.0425,11.9200,0.0775,
,35mS ~ 15mS,12.2400,0.0325,11.8400,0.0775,
,35mS ~ 20mS,12.2225,0.0375,11.9075,0.0725,
,35mS ~ 25mS,12.2200,0.0375,11.8850,0.0750,
,35mS ~ 30mS,12.2250,0.0250,11.8700,0.0600,
,35mS ~ 35mS,12.2350,0.0500,11.9700,0.0850,
,35mS ~ 40mS,12.2675,0.0525,11.9025,0.0900,
,35mS ~ 45mS,12.2700,0.0525,11.8750,0.0900,
,40mS ~ 5mS,12.2700,0.0525,11.8750,0.0900,
,40mS ~ 10mS,12.2775,0.0525,11.9125,0.0800,
,40mS ~ 15mS,12.2525,0.0525,11.9100,0.0800,
,40mS ~ 20mS,12.2325,0.0400,11.8700,0.0775,
,40mS ~ 25mS,12.2425,0.0400,11.9125,0.0750,
,40mS ~ 30mS,12.2225,0.0325,11.9000,0.0650,
,40mS ~ 35mS,12.2475,0.0300,11.9100,0.0675,
,40mS ~ 40mS,12.2450,0.0500,11.9725,0.0850,
,40mS ~ 45mS,12.2600,0.0525,11.9125,0.0900,
,45mS ~ 5mS,12.2600,0.0525,11.9125,0.0900,
,45mS ~ 10mS,12.2550,0.0525,11.9025,0.0900,
,45mS ~ 15mS,12.2475,0.0550,11.9125,0.0875,
,45mS ~ 20mS,12.2600,0.0475,11.9075,0.0850,
,45mS ~ 25mS,12.2250,0.0400,11.8400,0.0850,
,45mS ~ 30mS,12.2325,0.0375,11.8825,0.0775,
,45mS ~ 35mS,12.2250,0.0325,11.9200,0.0775,
,45mS ~ 40mS,12.2300,0.0325,11.9000,0.0675,
,45mS ~ 45mS,12.2550,0.0525,11.9425,0.0900,
,
,August01112109,Dyn Increase time,220/0-14,,
,,Max,Min,
,5mS ~ 5mS,012.2325,0.0275,011.9550,0.0650,
,5mS ~ 10mS,12.2425,0.0325,11.9100,0.0625,
,5mS ~ 15mS,12.2325,0.0200,11.9300,0.0550,
,5mS ~ 20mS,12.2250,0.0250,11.9725,0.0500,
,5mS ~ 25mS,12.2250,0.0125,11.9950,0.0500,
,5mS ~ 30mS,12.2225,0.0075,11.8700,0.0400,
,5mS ~ 35mS,12.2300,0.0050,11.8950,0.0325,
,5mS ~ 40mS,12.2250,0.0025,11.8775,0.0400,
,5mS ~ 45mS,12.2250,0.0025,11.8375,0.0400,
,10mS ~ 5mS,12.2250,0.0025,11.8375,0.0400,
,10mS ~ 10mS,12.2425,0.0325,11.9500,0.0600,
,10mS ~ 15mS,12.2350,0.0375,11.9325,0.0750,
,10mS ~ 20mS,12.2325,0.0325,11.9350,0.0675,
,10mS ~ 25mS,12.2325,0.0275,11.9775,0.0625,
,10mS ~ 30mS,12.2250,0.0275,11.9550,0.0600,
,10mS ~ 35mS,12.2325,0.0200,11.8700,0.0525,
,10mS ~ 40mS,12.2200,0.0175,11.9000,0.0450,
,10mS ~ 45mS,12.2200,0.0050,11.8950,0.0450,
,15mS ~ 5mS,12.2200,0.0050,11.8950,0.0450,
,15mS ~ 10mS,12.2250,0.0075,11.8825,0.0450,
,15mS ~ 15mS,12.2350,0.0325,11.9725,0.0750,
,15mS ~ 20mS,12.2325,0.0400,11.9075,0.0800,
,15mS ~ 25mS,12.2325,0.0375,11.9300,0.0775,
,15mS ~ 30mS,12.2300,0.0325,11.8875,0.0650,
,15mS ~ 35mS,12.2525,0.0250,11.9200,0.0650,
,15mS ~ 40mS,12.2400,0.0250,11.8700,0.0550,
,15mS ~ 45mS,12.2400,0.0200,11.8825,0.0525,
,20mS ~ 5mS,12.2400,0.0200,11.8825,0.0525,
,20mS ~ 10mS,12.2325,0.0150,11.9000,0.0525,
,20mS ~ 15mS,12.2350,0.0150,11.8725,0.0500,
,20mS ~ 20mS,12.2650,0.0475,11.9550,0.0775,
,20mS ~ 25mS,12.2325,0.0400,11.9075,0.0850,
,20mS ~ 30mS,12.2400,0.0475,11.9125,0.0800,
,20mS ~ 35mS,12.2300,0.0425,11.9200,0.0750,
,20mS ~ 40mS,12.2350,0.0325,11.9200,0.0725,
,20mS ~ 45mS,12.2350,0.0275,11.8875,0.0650,
,25mS ~ 5mS,12.2350,0.0275,11.8875,0.0650,
,25mS ~ 10mS,12.2325,0.0200,11.8825,0.0600,
,25mS ~ 15mS,12.2250,0.0275,11.9075,0.0600,
,25mS ~ 20mS,12.2325,0.0200,11.9150,0.0600,
,25mS ~ 25mS,12.2350,0.0425,11.9600,0.0775,
,25mS ~ 30mS,12.2600,0.0500,11.9125,0.0900,
,25mS ~ 35mS,12.2300,0.0425,11.9025,0.0875,
,25mS ~ 40mS,12.2650,0.0475,11.8975,0.0800,
,25mS ~ 45mS,12.2250,0.0500,11.9125,0.0775,
,30mS ~ 5mS,12.2250,0.0500,11.9125,0.0775,
,30mS ~ 10mS,12.2475,0.0300,11.8150,0.0725,
,30mS ~ 15mS,12.2350,0.0325,11.8825,0.0650,
,30mS ~ 20mS,12.2350,0.0300,11.9075,0.0650,
,30mS ~ 25mS,12.2350,0.0325,11.8475,0.0625,
,30mS ~ 30mS,12.2525,0.0475,11.9625,0.0650,
,30mS ~ 35mS,12.2325,0.0525,11.9200,0.0925,
,30mS ~ 40mS,12.2325,0.0525,11.9200,0.0875,
,30mS ~ 45mS,12.2775,0.0425,11.8600,0.0850,
,35mS ~ 5mS,12.2775,0.0425,11.8600,0.0850,
,35mS ~ 10mS,12.2575,0.0325,11.8750,0.0800,
,35mS ~ 15mS,12.2250,0.0400,11.8725,0.0675,
,35mS ~ 20mS,12.2250,0.0375,11.8850,0.0675,
,35mS ~ 25mS,12.2350,0.0275,11.8875,0.0625,
,35mS ~ 30mS,12.2300,0.0300,11.8900,0.0650,
,35mS ~ 35mS,12.2350,0.0600,11.9700,0.0875,
,35mS ~ 40mS,12.2450,0.0500,11.9200,0.0900,
,35mS ~ 45mS,12.2550,0.0475,11.9025,0.0875,
,40mS ~ 5mS,12.2550,0.0475,11.9025,0.0875,
,40mS ~ 10mS,12.2325,0.0475,11.9150,0.0875,
,40mS ~ 15mS,12.2475,0.0475,11.9200,0.0850,
,40mS ~ 20mS,12.2450,0.0400,11.8600,0.0750,
,40mS ~ 25mS,12.2250,0.0375,11.8875,0.0750,
,40mS ~ 30mS,12.2400,0.0300,11.9000,0.0750,
,40mS ~ 35mS,12.2400,0.0375,11.9000,0.0650,
,40mS ~ 40mS,12.2400,0.0500,11.9825,0.0800,
,40mS ~ 45mS,12.2575,0.0550,11.9025,0.0925,
,45mS ~ 5mS,12.2575,0.0550,11.9025,0.0925,
,45mS ~ 10mS,12.2525,0.0475,11.9125,0.0900,
,45mS ~ 15mS,12.2675,0.0475,11.9200,0.0850,
,45mS ~ 20mS,12.2450,0.0525,11.9125,0.0850,
,45mS ~ 25mS,12.2325,0.0400,11.8500,0.0800,
,45mS ~ 30mS,12.2325,0.0500,11.8950,0.0800,
,45mS ~ 35mS,12.2525,0.0300,11.9100,0.0750,
,45mS ~ 40mS,12.2400,0.0400,11.9100,0.0675,
,45mS ~ 45mS,12.2450,0.0475,11.9675,0.0875,
,
